,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video,Parent Category
6172,Dép thời trang nữ da mềm Siêu đẹp mã LC_D12 số lượng có hạn,61000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,706,9271,4.8,244,6,4,4,4,262,169,145,Giày Dép Nam
6173,Giày nữ thể thao jd bống rổ dạ quang cao cấp bm021,199000.0,VUÔNG,Giày Dép Nam/Giày Thể Thao/ Sneakers,392,57,4.9,182,7,0,0,1,190,129,107,Giày Dép Nam
6174,"Giày Jordan Cổ Cao, Giày JD1 Xanh Navy Thể Thao Nam Nữ Full Box",350000.0,VUÔNG,Giày Dép Nam/Giày Thể Thao/ Sneakers,6900,279864,4.6,81,2,6,2,5,96,67,51,Giày Dép Nam
6175,Giày CV Allstar Nữ Full Đen Cổ Thấp,153000.0,VUÔNG,Giày Dép Nam/Giày Thể Thao/ Sneakers,221,8895,4.9,68,4,3,0,0,75,39,33,Giày Dép Nam
6176,Dép đi nhà tắm đúc nguyên khối chống trơn trượt - Dép đi trong nhà siêu êm (video thật),55000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,1700,16583,4.9,277,9,4,0,0,290,136,119,Giày Dép Nam
6177,ẢNH THẬT VIDEO MỚI VỀ Giày Moca Loafer bệt văn phòng giày lười da mềm nữ 3cm có sẵn đen nâu,379000.0,VUÔNG,Giày Dép Nữ/Giày Đế Bằng/Giày Lười,367,26,5.0,146,5,1,0,0,152,88,66,Giày Dép Nữ
6178,"DL88 - Dép nơ da lì cực xinh hàng đẹp( ảnh thật, kèm video)",124000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,200,12,5.0,98,5,0,0,0,103,48,29,Giày Dép Nam
6179,"Dép đi trong nhà, nhà tắm Chữ Nhật thời trang nam nữ mã DN5",41500.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,6300,3373,5.0,991,16,5,0,1,1000,503,435,Giày Dép Nam
6180,"Giày MLB Chunky Liner Nam Nữ phiên bản 2023, Giày Sneaker 𝐌𝐋𝐁 chunky Siêu Hot hàng xịn sò độn đế cao cấp size 36_43",249000.0,MLB,Giày Dép Nam/Giày Thể Thao/ Sneakers,1400,31990,0.0,0,0,0,0,0,114,0,0,Giày Dép Nam
6181,GIÀY OXFORD BÁNH MÌ DA MỜ  ĐẾ CAO  ( HÀNG CÓ SẴN),194500.0,MLB,Giày Dép Nữ/Giày Đế Bằng/Giày Oxford & Giày Buộc Dây,429,63,4.8,121,10,2,1,1,135,88,81,Giày Dép Nữ
6182,"Dép đi trong nhà hình thú đế cao su chống nước chống trượt size 38-39, dép bông mang trong nhà văn phòng, khách sạn, spa",37000.0,MLB,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,1000,96,4.9,268,7,4,2,3,284,94,82,Giày Dép Nam
6183,GUỐC CAO GÓT LOVIIE BASICS THỜI TRANG - DÉP NỮ XỎ NGÓN ĐẾ VUÔNG 3 PHÂN DÂY MẢNH D200821 D200720,162012.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,2200,1988,4.9,316,15,7,1,2,341,207,154,Giày Dép Nam
6184,"Dép lê nữ nam, Dép đi trong nhà cao su siêu mềm, siêu dai, chống trơn trượt, họa tiết chú gấu đáng yêu DU14meomeo",35400.0,Gấu,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,1700,216,4.8,494,31,11,6,6,548,264,214,Giày Dép Nam
6185,dép cá sấu Dép Đi Trong Nhà Đế Mềm Chống Trượt Hình Khủng Long Hoạt Hình Dễ Thương Dành Cho Cặp Đôi TRANGBIHUE,76000.0,Gấu,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,8600,142230,4.9,2300,119,53,15,24,2500,1500,1200,Giày Dép Nam
6186,Dép Thái Lan quai kẹp Monobo Jina 3,109000.0,Monobo,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,516,126,4.9,165,1,2,0,1,169,75,55,Giày Dép Nam
6187,XẢ SIZE 36 Dép thái lan quai ngang thời trang FREE SHIP 50K dép nữ siêu dễ thương đủ màu,15000.0,Monobo,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,366,26,4.9,95,1,3,0,0,99,63,57,Giày Dép Nam
6188,Dép Thái Dép nữ đúc quai ngang MONOBO - MONIGA 10.4,63000.0,Monobo,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,1200,178,4.9,302,5,4,1,1,313,151,116,Giày Dép Nam
6189,Dép Nữ Kiểu Dáng Nơ Màu Sắc Cực Xinh - Dép Đi Biển Mùa Hè Cho Các Bạn Nữ,57230.0,Monobo,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,511,286,0.0,0,0,0,0,0,178,0,0,Giày Dép Nam
6190,"Dép nữ quai ngang đế bánh mỳ gắn YS màu Đen,Trắng",62500.0,Monobo,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,180,13,4.9,50,4,2,0,0,55,20,15,Giày Dép Nam
6191,"Dép Hàng Không các hãng, dép nỉ đi trong nhà",19625.0,Monobo,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,1800,329,4.9,134,7,1,1,1,144,66,44,Giày Dép Nam
6192,"Giày Nike_Trắng AF1, Giày Air Force 1 Full Trắng Nam Nữ Hàng Đẹp Full Box",175000.0,NIKE,Giày Dép Nam/Giày Thể Thao/ Sneakers,117200,789860,4.9,409,34,5,1,3,452,202,139,Giày Dép Nam
6193,Giày nơ mới 5p kèm ảnh thật,56000.0,NIKE,Giày Dép Nữ/Giày Cao Gót,1000,156,4.6,300,36,14,6,13,369,202,160,Giày Dép Nữ
6194,Dép sục nữ croos siêu nhẹ hình hà mã hàng tuyển chọn,55000.0,NIKE,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,1200,4,4.6,289,46,20,6,11,372,220,153,Giày Dép Nam
6195,Giày MWC 3726 - Cao Gót Mũi Nhọn Đế Vuông 3cm Phối Khóa Tròn Đẹp,180000.0,MWC,Giày Dép Nữ/Giày Cao Gót,776,154,4.9,284,19,6,0,0,309,208,193,Giày Dép Nữ
6196,Giày Nam Nữ Giày Converse CV 1970s Cổ Thấp Đen Mũi Bóng Học Sinh Giá Rẻ,340000.0,CONVERSE,Giày Dép Nam/Giày Thể Thao/ Sneakers,9200,17831,4.6,99,14,5,2,5,125,67,49,Giày Dép Nam
6197,"Giày thể thao bata nữ ulzzang cv cổ cao hình gấu phản quang full box, giày học sinh đế bằng vải canvas",104000.0,Gấu,Giày Dép Nam/Giày Thể Thao/ Sneakers,445,6948,4.8,195,21,7,1,1,225,134,99,Giày Dép Nam
6198,Dép bánh mì nữ hình mặt gấu chất liệu EVA nhẹ êm chống nước đi mưa thoải mái đi ở nhà đi chơi đi biển đều được,45000.0,Gấu,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,642,1935,4.8,271,20,7,2,5,305,175,143,Giày Dép Nam
6199,"Giày Nữ, Giày Lười Đế Bằng Da Mềm, Dây Rút Kiểu Dáng Trẻ Trung Hàn Quốc, [HÀNG LOẠI 1]  M62 -- Lisa",189000.0,Gấu,Giày Dép Nam/Giày Thể Thao/ Sneakers,2900,1448,0.0,0,0,0,0,0,874,0,0,Giày Dép Nam
6200,dép bánh mì đế siêu nhẹ cao 3cm đính chữ sang chảnh,85000.0,Gấu,Giày Dép Nữ/Giày Đế Xuồng,186,10,4.9,57,2,3,0,0,61,27,24,Giày Dép Nữ
